Species,Character1,Character2,Character3,Character4,Character5,Character6,Character7,Character8,Character9,Character10,Character11,Character12,Character13,Character14,Character15,Character16,Character17,Character18,Character19,Character20,Character21,Character22,Character23,Character24,Character25,Character26,Character27,Character28
Ameletus,"1,2","1,2",2,Not Applicable,Missing,2,2,2,2,Missing,1,2,Missing,Missing,2,2,Missing,2,1,2,Missing,Missing,1,1,2,Missing,3,8
Baetis,"1,2",Missing,"1,2",1,Missing,2,2,2,1,2,1,1,"1,2",Missing,Missing,"2,3",Missing,Missing,1,Missing,Missing,Missing,1,1,2,2,2,1
Brachycercus,"1,2",Missing,2,Not Applicable,1,1,2,2,2,Missing,2,Missing,Not Applicable,2,Missing,2,Missing,Missing,2,Missing,Missing,Missing,Missing,2,2,Missing,2,2
Caenis,"1,2",Missing,2,Not Applicable,2,1,2,2,2,Missing,2,Missing,Not Applicable,1,Missing,2,Missing,Missing,2,Missing,Missing,Missing,Missing,2,2,Missing,2,2
Centroptilum,"1,2",Missing,"1,2",1,Missing,2,2,2,1,1,1,1,2,Missing,Missing,"2,3",Missing,Missing,1,Missing,Missing,Missing,1,1,2,Missing,2,1
Cloeon,"1,2",Missing,2,Not Applicable,Missing,2,2,2,1,Missing,2,2,Not Applicable,Missing,Missing,2,1,Missing,1,Missing,Missing,Missing,1,1,2,Missing,2,1
Ecdyonurus,"1,2","1,2",2,Not Applicable,Missing,2,1,2,2,Missing,1,2,Missing,Missing,Missing,1,Missing,2,1,1,1,Missing,Missing,1,2,1,3,5
Ephemera,"1,2",Missing,2,Not Applicable,Missing,2,1,1,2,Missing,1,Missing,1,Missing,Missing,"2,3",Missing,Missing,2,Missing,Missing,3,Missing,Missing,1,Missing,1,3
Ephemerella,"1,2",Missing,2,Not Applicable,Missing,2,2,2,2,Missing,1,Missing,1,Missing,Missing,2,Missing,Missing,2,Missing,Missing,3,Missing,2,2,Missing,2,4
Habrophlebia,"1,2",Missing,"1,2",2,Missing,2,2,2,2,Missing,1,Missing,2,Missing,Missing,2,Missing,Missing,2,Missing,Missing,Missing,2,1,2,2,2,6
Heptagenia,"1,2",2,2,Not Applicable,Missing,2,2,2,2,Missing,1,2,Missing,Missing,Missing,1,Missing,2,1,Missing,Missing,3,Missing,1,2,1,3,5
Leptophlebia,"1,2",Missing,"1,2",2,Missing,2,2,2,2,Missing,1,Missing,1,Missing,Missing,2,Missing,Missing,2,Missing,Missing,1,2,1,2,2,2,6
Paraleptophlebia,"1,2",Missing,"1,2",2,Missing,2,2,2,2,Missing,1,Missing,1,Missing,Missing,2,Missing,Missing,2,Missing,Missing,2,2,1,2,2,2,6
Potamanthus,"1,2",Missing,2,Not Applicable,Missing,2,2,1,2,Missing,1,Missing,Missing,Missing,Missing,"2,3",Missing,Missing,2,Missing,Missing,Missing,Missing,Missing,1,Missing,1,7
Procloeon,"1,2",Missing,2,Not Applicable,Missing,2,2,2,1,Missing,2,2,Not Applicable,Missing,Missing,2,2,Missing,1,Missing,Missing,Missing,1,1,2,Missing,2,1
Rhithrogena,"1,2","1,2",2,Not Applicable,Missing,2,2,2,2,Missing,1,2,Missing,Missing,Missing,1,Missing,2,1,1,2,3,Missing,1,2,1,3,5
Siphlonurus,"1,2",Missing,2,Not Applicable,Missing,2,2,2,2,Missing,1,2,Missing,Missing,1,2,Missing,1,1,Missing,Missing,Missing,1,1,2,Missing,3,8
